UserID;FullName;DateOfBirth;Sex
"0001";"Jimmy Johnson";"1974-12-07";"Male"
"0002";"Theodore McKinley";"1980-04-21";"Male"
"0003";"Gerald Lincoln";"1970-08-02";"Female"
"0004";"Gerald Truman";"1974-10-30";"Male"
"0005";"Bill Carter";"1985-06-19";"Male"
"0006";"Herbert Carter";"1972-07-12";"Male"
"0007";"Woodrow Hoover";"1980-06-17";"Female"
"0008";"Chester Adams";"1982-01-29";"Male"
"0009";"Harry Reagan";"1979-07-11";"Male"
"0010";"Calvin Eisenhower";"1986-02-02";"Female"
"0011";"Grover McKinley";"1979-06-22";"Female"
"0012";"Martin Clinton";"1984-03-14";"Male"
"0013";"Lyndon Johnson";"1974-06-15";"Female"
"0014";"Andrew Wilson";"1986-01-09";"Male"
"0015";"Franklin Jackson";"1988-03-17";"Female"
"0016";"William Clinton";"1970-03-19";"Male"
"0017";"Gerald Clinton";"1989-01-14";"Male"
"0018";"Gerald Roosevelt";"1981-04-27";"Female"
"0019";"Ulysses Taft";"1973-10-25";"Male"
"0020";"Richard Roosevelt";"1983-07-07";"Male"
"0021";"James Harding";"1975-06-26";"Male"
"0022";"John Hayes";"1976-10-04";"Female"
"0023";"Thomas Van Buren";"1984-12-29";"Female"
"0024";"Richard Eisenhower";"1990-09-03";"Female"
"0025";"George Grant";"1978-08-22";"Female"
"0026";"Bill Kennedy";"1981-01-20";"Male"
"0027";"Benjamin Clinton";"1985-11-11";"Male"
"0028";"Woodrow Coolidge";"1990-12-06";"Male"
"0029";"Ronald Clinton";"1981-10-12";"Female"
"0030";"Ronald Garfield";"1980-08-30";"Male"
"0031";"James Johnson";"1984-07-14";"Male"
"0032";"William Ford";"1973-09-13";"Male"
"0033";"Andrew Fillmore";"1974-08-23";"Male"
"0034";"Ronald Eisenhower";"1989-02-12";"Male"
"0035";"Millard Eisenhower";"1989-12-16";"Male"
"0036";"Dwight Tyler";"1989-01-04";"Female"
"0037";"William Roosevelt";"1977-05-24";"Female"
"0038";"Andrew Jefferson";"1973-12-14";"Male"
"0039";"Ulysses Harrison";"1990-09-14";"Male"
"0040";"Calvin Wilson";"1978-08-01";"Male"
"0041";"Richard Wilson";"1970-12-23";"Female"
"0042";"Jimmy Garfield";"1990-09-11";"Male"
"0043";"Rutherford Jefferson";"1970-03-26";"Female"
"0044";"Harry Jefferson";"1978-08-27";"Female"
"0045";"Dwight Washington";"1975-05-13";"Female"
"0046";"Theodore Adams";"1990-04-25";"Female"
"0047";"Theodore Arthur";"1983-10-03";"Male"
"0048";"Gerald McKinley";"1986-05-05";"Female"
"0049";"James McKinley";"1979-07-11";"Female"
"0050";"Gerald Harrison";"1977-10-12";"Female"
"0051";"Ulysses Jefferson";"1975-12-19";"Male"
"0052";"Andrew Clinton";"1987-06-19";"Female"
"0053";"Franklin Harrison";"1971-04-12";"Male"
"0054";"Gerald Reagan";"1970-02-18";"Male"
"0055";"Gerald Jefferson";"1975-08-23";"Male"
"0056";"Ulysses Johnson";"1987-03-10";"Male"
"0057";"Ronald Adams";"1988-08-20";"Male"
"0058";"Woodrow Cleveland";"1984-07-22";"Male"
"0059";"Ulysses Monroe";"1971-11-03";"Male"
"0060";"James Garfield";"1990-01-09";"Female"
"0061";"Herbert Truman";"1988-02-29";"Female"
"0062";"Rutherford Buchanan";"1972-05-29";"Male"
"0063";"Thomas Harrison";"1986-03-30";"Male"
"0064";"Chester Roosevelt";"1986-09-21";"Female"
"0065";"John Fillmore";"1987-06-03";"Female"
"0066";"Bill Roosevelt";"1989-02-23";"Female"
"0067";"Benjamin Truman";"1988-05-18";"Female"
"0068";"Herbert Monroe";"1975-09-02";"Male"
"0069";"Zachary Washington";"1973-11-21";"Male"
"0070";"George Truman";"1978-06-06";"Male"
"0071";"Gerald Adams";"1986-06-25";"Female"
"0072";"Jimmy Harrison";"1980-04-17";"Female"
"0073";"Grover Carter";"1987-08-21";"Male"
"0074";"Gerald Madison";"1984-04-02";"Male"
"0075";"William Madison";"1970-04-23";"Female"
